Feature	Number of Connections
AC004009.3	0
AC108463.2	0
ITPRID2	0
CCDC103	0
PLD1.2	0
MRPL2	0
AL360085.1	0
PIMREGP2	0
TEX38	0
BCL9	0
AC090527.3	0
MYF5	0
LINC01954	0
RPL7AP52	0
GSK3B.2	0
MYH11.26	0
PPARG	0
AC096564.1	0
NTRK1	0
SLC18A2	0
HNRNPRP1	0
KIZ.1	0
PIP4K2B	0
HLA-DPA1	0
VCAM1	0
NAALADL2-AS2	0
GALNS	0
CACTIN.2	0
CS	0
AC096533.2	0
GRHL2	0
LINC02351	0
SOWAHD	0
ANKS1A.5	0
RASA3	0
MYH11.50	0
AC008496.3	0
IFNG-AS1	0
TIGD1	0
IGKC	0
OR51B3P	0
KMT2D.20	0
TKT	0
RBBP8NL.2	0
UMOD	0
AL139819.1	0
HNRNPA3P15	0
AC138331.1	0
NFYC	0
ACIN1.17	0
SRSF12.2	0
KDM2B	0
PDE6G	0
CASC3	0
MBD1	0
LINC02457	0
EIF3B.6	0
NKIRAS2	0
RPSAP29	0
hsa-miR-6864-5p	0
PXMP4	0
BANP.1	0
KLHL26	0
RNY1P9	0
CIDEC	0
OR2H2	0
hsa-miR-548d-5p	0
AL354709.1	0
AL031662.1	0
MAP2K7.2	0
AC245505.1	0
AC084026.3	0
HPSE2	0
IDI2	0
SAFB	0
ARMC9	0
MICAL1.3	0
TAF15.4	0
FRS2.3	0
FRYL.7	0
LINC02100	0
hsa-miR-224-5p	0
RN7SL78P	0
MED26	0
CHGA.7	0
DOCK10.1	0
BAIAP2L1.12	0
IGLL5	0
USP49	0
RASGRP2	0
CCDC51	0
hsa-miR-4748	0
TJP1.33	0
AC005515.2	0
CTNNA1.10	0
hsa-miR-642a-5p	0
RN7SKP55	0
ZNF490	0
TMEM220	0
hsa-miR-6789-5p	0
hsa-miR-30c-2-3p	0
INA	0
PHF24	0
SETD1A.2	0
RRP7BP	0
CCR1	0
ATP5MFP4	0
RIPOR1	0
KRT27	0
ZFC3H1.11	0
TOMM70.1	0
NEDD9	0
OR7A8P	0
RN7SKP214	0
CACNA1A	0
IGHV3-52	0
DNAJC30.2	0
AC133963.1	0
ZFR.1	0
RPL36AP33	0
RPL21P106	0
MROH9	0
BLOC1S3	0
ADGRE4P	0
RBBP8NL	0
RALY.3	0
SYT7	0
AF131216.5	0
SH2D2A	0
MTATP8P2	0
USP19	0
MIA3.3	0
CMA1	0
GIGYF1	0
SCRIB.31	0
PPFIBP2.7	0
Z82188.1	0
CACNB3	0
LAD1.11	0
THRAP3.15	0
STX8	0
KMT2D.10	0
hsa-miR-411-5p	0
SAMD1.1	0
TAPBP	0
AC233702.6	0
KIAA1671.19	0
AC068669.1	0
PDE2A-AS2	0
TEAD4	0
MORC2	0
AL033527.3	0
FNDC3CP	0
BCLAF1.15	0
PLA1A	0
TRAV39	0
hsa-miR-495-5p	0
AL512356.2	0
MEF2C-AS2	0
AC099552.2	0
AL031258.1	0
TCAF1	0
TBC1D10A	0
RFPL3	0
GBF1.7	0
ABLIM2.1	0
NT5C2	0
ACP7	0
PSME1	0
MEN1	0
FARP2.1	0
RAB37	0
MTDH.10	0
VPS9D1	0
CENPA.1	0
FOXP4-AS1	0
hsa-miR-3177-5p	0
MYC.2	0
YTHDC1.4	0
PARP9.1	0
KMT2D.1	0
LILRB4	0
RNU6-762P	0
AP001767.4	0
AL121787.1	0
COA5	0
hsa-miR-548b-5p	0
HDAC7	0
GUF1	0
PARP4	0
ARHGAP32.1	0
hsa-miR-6736-5p	0
PSMG2	0
CCDC122	0
CEP68	0
PSMA6	0
AL356475.1	0
RAB11B	0
TBX21	0
IGLV8-61	0
CMKLR1.1	0
NCK1	0
PHBP6	0
SENP2.1	0
SRSF7.4	0
ELOBP2	0
PANK4	0
AC130366.1	0
INTS11	0
AC004593.1	0
CRHBP	0
SNHG19	0
AC114947.2	0
CCDC58P2	0
KNG1	0
hsa-miR-5583-5p	0
PAPOLG.5	0
CHAMP1.21	0
IGKV3OR2-268	0
AL353593.1	0
P2RX4	0
PATE4	0
DERL3	0
AC005262.1	0
MICAL1	0
CEMP1	0
CCT4	0
hsa-miR-299-3p	0
NOB1	0
MID1	0
AC090018.1	0
RCOR3	0
MEP1B	0
S100A3	0
ATL2	0
GPX2	0
TREX1	0
EGFR	0
AL133547.1	0
BX322234.2	0
AC092162.2	0
RNU4-72P	0
PLEKHG6.1	0
RBSN.1	0
AC098650.1	0
POF1B	0
SLC2A4	0
VN1R83P	0
ERCC8-AS1	0
TEX44	0
ITPRID2.1	0
KMO	0
LIMCH1.11	0
NES.17	0
MSH5	0
AC021851.2	0
RN7SL731P	0
LAP3	0
HSPB1.10	0
TOMM20P3	0
SAMD4B.9	0
JRK	0
FNBP1P1	0
SWAP70	0
MOB3C	0
TRBV7-3	0
AGAP2.1	0
FPR1	0
SLC16A11	0
hsa-miR-1266-3p	0
AL357833.1	0
VGLL1	0
BPY2B	0
PASD1	0
MMUT	0
RNU1-56P	0
OTUD7B	0
AL353705.4	0
ZNF402P	0
Z97192.2	0
RN7SKP130	0
TNRC18.7	0
hsa-miR-17-5p	0
AC116914.1	0
TBC1D2B	0
SPEN.15	0
AL445531.1	0
DEFB130C	0
RPPH1	0
SRFBP1	0
TMCC3.1	0
ST8SIA4	0
AC126773.5	0
CLEC3B	0
EEF1D	0
LIPA	0
MMRN1.1	0
ZNF648	0
ZFPM1.4	0
ATP6V1A.1	0
GOLGA7	0
ENTPD2	0
LINC00861	0
MMEL1-AS1	0
AP1M2.1	0
TPT1P7	0
GPR89B	0
LINC01126	0
TSHZ1	0
MCM3	0
AC093010.1	0
ENPEP	0
hsa-miR-4492	0
RN7SKP285	0
SRSF11.6	0
AC012363.3	0
FUNDC2.2	0
AC005005.2	0
ARHGAP35.16	0
MARK2.2	0
CDK12.4	0
PXT1	0
PRKAB1	0
hsa-miR-222-3p	0
CTXN2	0
RDX	0
IGSF8	0
TAGAP	0
UBE2Q1	0
JCHAIN	0
RN7SL202P	0
ARHGAP25.2	0
ADD3.2	0
GPNMB	0
BSPRY	0
AL122008.3	0
BRD1.1	0
AC011601.1	0
AL136298.1	0
AL137247.2	0
SECISBP2	0
PRKCI.2	0
LRIG1	0
TTC22	0
AL591846.2	0
BRD7	0
AARS1	0
CARS1P2	0
CYP2S1	0
TSC22D1-AS1	0
NASP.2	0
DTX3L.3	0
RPS19P3	0
AL591767.1	0
DYRK1B	0
KIF5C	0
ZNF74	0
RBMY2NP	0
DBP	0
SOWAHC	0
AKAP11.6	0
TCF4	0
AC104027.1	0
MARVELD3	0
AC022400.8	0
EIF3C	0
CTNNBIP1	0
AC063944.3	0
ANK2.48	0
DYNC1I2.4	0
NME6	0
FAM160A1	0
COL17A1.1	0
NUP153.9	0
NCKAP1L	0
AC010503.3	0
KRT18P22	0
ZFAND3	0
hsa-miR-452-5p	0
VPS51	0
AL591506.1	0
AC105227.1	0
CD79A.1	0
DIAPH2-AS1	0
RGS14.4	0
ZNF385D	0
P2RY14.1	0
hsa-miR-627-3p	0
COIL.2	0
CENPB.1	0
TFDP2	0
AC041005.1	0
CFAP20	0
AC104809.1	0
TRAT1	0
LINC01082	0
NT5C	0
NAIPP2	0
AGAP3	0
VPS39	0
NCBP2L	0
AC003973.1	0
PITPNM2	0
MT1JP	0
MIR5572	0
CWC25	0
ARHGEF2.19	0
AC074051.1	0
ELF3	0
OVOL1	0
SAFB.1	0
AC026979.1	0
LINC00402	0
UBE2Q1.1	0
ADAR.1	0
SPATA25	0
H4C12	0
hsa-miR-320e	0
WLS	0
PLCL1.4	0
SCG2	0
MCMBP	0
GBP5	0
AL162464.2	0
IGHV6-1	0
DVL3.1	0
AC109492.1	0
AL359095.1	0
MYBPC1	0
RBP5	0
CRYBG2.6	0
PARTICL	0
LINC02730	0
RTKN	0
hsa-miR-4999-3p	0
AL078459.1	0
AP000894.4	0
NOD1	0
CTR9	0
FAM171A1.6	0
AL117353.1	0
UBE2L6.1	0
CPVL	0
SH3YL1	0
PHF2	0
AL512622.1	0
AL008719.1	0
IGHV3-13.1	0
LINC01749	0
DLX6	0
TRBV11-3	0
AP001342.1	0
MYO1D.1	0
PRR19	0
HNRNPD	0
AL096870.1	0
AC026877.1	0
PMS2P3	0
TXNL4A	0
AC079080.1	0
LRRC24	0
DENND4C.16	0
LRRC19	0
NCF1.5	0
AC093151.5	0
AL645929.2	0
NFIX.1	0
hsa-miR-6892-3p	0
CDC27P2	0
AL355073.1	0
AC090579.1	0
HNRNPH2	0
AL391516.1	0
NSD3	0
AC005911.1	0
ARID1B	0
E2F4.2	0
ERRFI1.3	0
AC108718.1	0
FAM30A	0
AL117190.4	0
BUD13	0
SYTL4.10	0
CNOT7P1	0
AL135818.3	0
DUPD1	0
RAB33A	0
NR2F1-AS1	0
SEMA3E	0
NTAN1P3	0
AC011483.1	0
AP000769.5	0
AP001107.9	0
RN7SKP57	0
AC097504.2	0
hsa-miR-6867-5p	0
ZBBX	0
DTX3L	0
FGF6	0
AC009268.3	0
SERINC5	0
DTX2	0
KRT8P20	0
GIT1.6	0
SMARCA4	0
AL445426.1	0
AC012531.4	0
AL512378.1	0
AL135791.1	0
IGKV1OR22-1	0
CPSF7	0
IGKV3-11	0
APC.5	0
ASXL2.7	0
CRAMP1.1	0
GPATCH8	0
CYLD.3	0
MTND4P4	0
AC073195.2	0
MSMO1	0
OPRK1	0
FER1L6	0
hsa-miR-541-5p	0
SASH3.6	0
LINC00502	0
RSL24D1P11	0
AC005674.2	0
CACNA2D1-AS1	0
ETS1	0
GIMAP4	0
CELA1	0
AC004980.1	0
ZNF205	0
AL137074.1	0
PLEK	0
PRCC	0
SENP6	0
RNU6-884P	0
AC098934.2	0
MUC4	0
BCL9L	0
FAM86GP	0
CRTC3.6	0
SGTA	0
TGOLN2	0
CPNE7	0
SYBU	0
AL353688.1	0
KCNN3	0
AC015983.1	0
TASOR.6	0
FAM110D	0
AC090971.5	0
AC108673.1	0
SCAP.2	0
AL512308.1	0
RERE-AS1	0
SSR3	0
LINC00221	0
ALDH2	0
AC084121.2	0
XRN1	0
GAPDHP57	0
AC104066.4	0
CCR3	0
ARHGAP31.11	0
PAK1.1	0
ANK2	0
GAPDHP54	0
MYORG	0
USP6NL	0
RSRC2	0
DUSP3	0
CCER1	0
WDFY4.1	0
SETX.2	0
FNBP1L.2	0
YIPF7	0
SNORD113-4	0
POLDIP3.1	0
HEMGN	0
TECR.1	0
CSN2	0
VPS26CP1	0
LINC01033	0
SLX4.5	0
SLC12A4.2	0
IL7R	0
AC018521.6	0
AC104407.1	0
SVIL.28	0
SLC12A9	0
BUD13.11	0
AC132192.1	0
MRC1.1	0
PLEC.57	0
LPP	0
AC078883.1	0
OR4D5	0
DMXL2.1	0
AL603750.1	0
LDB3.9	0
THEMIS2.1	0
AP1B1.1	0
TMEM252-DT	0
CAVIN3.5	0
ZNF251	0
MAIP1	0
ZNF787	0
CR769775.1	0
HAGLROS	0
Z99127.1	0
PSMB4	0
RUNDC1	0
TMF1.9	0
RN7SL286P	0
TSR1	0
KRTAP4-1	0
AC113139.1	0
ANGPTL3	0
ZBTB3	0
AL356489.3	0
ACTL7B	0
AC025252.3	0
SPATA2L	0
RPL23AP38	0
AC008467.1	0
VAV1.2	0
DLGAP4.4	0
POLD1	0
RN7SL176P	0
GYPE	0
AC011921.1	0
TMUB1	0
LINC02084	0
AACS	0
PRRC2C.7	0
VPS18	0
RFNG	0
SMPD4BP	0
SCN7A.8	0
AP003548.1	0
FHDC1	0
MPIG6B	0
IL6R-AS1	0
AJM1	0
HOOK1	0
OR51K1P	0
RNF170	0
TRGV2	0
SLC25A5P9	0
CHAF1A.1	0
FASN.6	0
AP003497.2	0
ARHGAP30.1	0
PKP4.3	0
BRAFP1	0
OTULINL	0
AP3D1	0
GNG7	0
RHEX	0
CD53	0
AL355836.3	0
PLEKHH3	0
FAM205BP	0
SRL	0
STRN.4	0
PBRM1.3	0
MAP2K4	0
ZNF513	0
CCDC183-AS1	0
AP001574.1	0
LINC00706	0
ALAD	0
LZTS2	0
RNF133	0
MEIS1-AS2	0
RSF1	0
GSTCD-AS1	0
AC245884.3	0
AL021878.2	0
LINC02149	0
PHLDB1.4	0
ARHGEF5.15	0
PLK2	0
CAV2	0
CD274.1	0
OLFML2A.1	0
SIRPG-AS1	0
AC112693.1	0
HNF1A.1	0
TFG.4	0
AL450326.3	0
AC093166.1	0
AL157703.1	0
PKP3	0
CDC42BPB.3	0
HTR3A	0
SCAMP4	0
RN7SL363P	0
AC010261.2	0
AL357832.1	0
hsa-miR-29c-5p	0
AKAP12.34	0
PPP1R12C	0
ADNP	0
CTBP2.3	0
SEC16A.17	0
CROCC2	0
AC025809.1	0
LRFN3	0
RPL7P56	0
AC010285.3	0
AC027287.1	0
C11orf68	0
LMNTD2-AS1	0
AKAP12.19	0
RNU6-647P	0
IPO9	0
CHST2	0
ZBTB48	0
NOL11	0
KRT20.3	0
OSTF1.1	0
CHCHD6.1	0
NSUN5P2	0
CYP4F11	0
ADAMTSL4	0
MAGEB10	0
ARID3B	0
RNF214	0
AC119396.1	0
CD22	0
PPP1R1B.4	0
SON.3	0
ATP5MGL	0
AP006621.3	0
PLIN1.8	0
IGHV1-12	0
CGB7	0
RPL7AP64	0
SLC6A15	0
MIEF2	0
CD33	0
RGS12	0
RAB5CP1	0
SERINC5.1	0
AC233723.1	0
IWS1.9	0
EIF2B4	0
RNU6-1024P	0
AMOTL2.1	0
BCLAF1.22	0
SRSF12	0
NFRKB.6	0
ENY2	0
TASOR.1	0
RBM10.1	0
hsa-miR-3622b-3p	0
TLR6	0
CERS6-AS1	0
HMGN3-AS1	0
MIS18A-AS1	0
AC007785.3	0
AC093791.2	0
PPFIBP2	0
CCAR2	0
IGKV3-20	0
MAST1	0
AC025268.1	0
AC004386.3	0
AP006248.4	0
KRT72	0
QRICH1	0
hsa-miR-582-3p	0
PTPRF	0
AC091167.3	0
SMARCA2	0
RIN3.3	0
MLLT6.2	0
NOP2	0
RNU6-678P	0
ZKSCAN3	0
MIPEPP1	0
GARNL3	0
hsa-let-7c-5p	0
AL009183.1	0
EMCN	0
NGEF	0
AMD1P4	0
CD46	0
AC087667.1	0
AKAP8	0
ADGRE1	0
HIPK1-AS1	0
HIGD1AP16	0
CRTC3.4	0
KIN	0
AC009152.3	0
ATP8B1.3	0
SRRT	0
hsa-miR-509-3p	0
HNRNPA1P38	0
SYNPO2.50	0
FAM102B.5	0
SIPA1.5	0
GALNT2.1	0
hsa-miR-4514	0
MEF2C	0
LRRC47	0
LPIN2.4	0
AC009131.1	0
RNU6-398P	0
SCAND1	0
VIPR2.2	0
STX17.1	0
PHLDB1.13	0
ACER2P1	0
ADCK5	0
AC023906.4	0
HSP90AA5P	0
MSL1	0
IGBP1P4	0
RPS13P4	0
LIX1-AS1	0
AL157937.1	0
RBM12B.1	0
hsa-miR-148b-3p	0
PNPLA4	0
PPIAP36	0
AKAP1.2	0
HNRNPA0.1	0
MTMR12	0
C6orf132.6	0
C4orf17	0
NSG2	0
MIA	0
AL050350.1	0
MISP3.2	0
C17orf80	0
AC254629.1	0
RPS27L	0
SF3A3P2	0
KIF21B	0
GLUD1	0
CSGALNACT1	0
PTPN13.4	0
hsa-miR-4428	0
TIMM9	0
PPP1R16A	0
EIF5B.1	0
ANXA1	0
AL590608.1	0
PFAS	0
VPREB1	0
AC090950.1	0
PRDM10	0
hsa-miR-6729-3p	0
CAVIN3.4	0
RRM2P2	0
DKK2	0
SPEN.5	0
TFAP4	0
TAOK2.1	0
FCGR3A.1	0
MLXIPL	0
BRK1	0
PPCS	0
DIS3L2	0
LDB2	0
hsa-miR-103a-2-5p	0
MTND5P33	0
IGLV1-47	0
NASP.5	0
CDH1.1	0
PPP1R3E.1	0
SPDYC	0
AP002762.2	0
AC026341.1	0
ATP5MFP6	0
PIAS4	0
NAPSB	0
MGAT5	0
KAZN-AS1	0
ASPA	0
EVI5.1	0
S100A2	0
PCGF3	0
AL354707.1	0
NRTN	0
LMNB1	0
RRP36.1	0
LINC02673	0
FRMD4A.4	0
B4GAT1	0
TRIM2.4	0
AKAP11.15	0
RAB3C	0
RPL19P20	0
AC100756.1	0
PCSK4	0
PAX4	0
PTPRE.1	0
AC022916.2	0
hsa-miR-658	0
BANP	0
PRODH2	0
ATP5MGP2	0
ARHGEF17.1	0
LINC02622	0
LINC01048	0
TNFRSF17	0
hsa-miR-326	0
APC.2	0
C4orf48	0
GUCY1A2	0
ST6GAL2-IT1	0
SETD4	0
NUDT4	0
hsa-miR-3074-5p	0
CBFA2T2	0
CCDC90B	0
ITPRID2.21	0
CORO1B	0
AL591379.2	0
AL357146.1	0
RANBP10	0
MTCO2P4	0
NFIB.1	0
GLULP4	0
AC009237.17	0
SLC6A16	0
PSMC1P12	0
FABP5P12	0
AL354950.3	0
DENND3	0
CARD14	0
AC023494.1	0
RAD23B	0
BLK	0
TJP1.7	0
HLA-DQB1.1	0
LIVAR	0
SUGT1P3	0
MFSD4B	0
TSPAN19	0
GOLGA6C	0
NFE2L1	0
MIR570	0
ZNF485	0
TAF15.8	0
AL662907.1	0
RPL23AP72	0
SZRD1	0
AHCYP2	0
FRG2B	0
VPS35L	0
AC009309.2	0
ERC2	0
LINC00320	0
OSBPL9	0
AC009022.2	0
DEFB109C	0
TERF2	0
GYG1	0
WAS	0
AL589763.1	0
OSBPL5	0
AC016526.2	0
AC125232.1	0
LINC00304	0
UNC119	0
DNAH8	0
ARHGAP24	0
LINC00452	0
ABI3.1	0
AC083923.1	0
GNAT1	0
AP003068.2	0
ARHGEF11	0
ERRFI1	0
NPC2	0
CKS1BP2	0
ARHGAP27	0
AC008438.1	0
SPEN	0
LINC01123	0
ZMYND10	0
PTDSS1.1	0
LINC00535	0
AC005410.1	0
IPCEF1	0
hsa-miR-760	0
CDC42EP4	0
SRGAP2-AS1	0
CABCOCO1	0
AC011500.3	0
AL136317.1	0
MAP2K7.1	0
GCDH.1	0
CNGB3	0
CROCC	0
AC011899.2	0
AC055811.3	0
GADD45G	0
AC044893.1	0
ZNF282	0
AC009299.1	0
SYMPK	0
EHBP1L1.6	0
SLIRP.1	0
DLG5	0
AL357054.3	0
DOK1	0
FXR2.1	0
AC011462.5	0
CNIH3-AS1	0
SUPT4H1P2	0
USP15	0
FGF18	0
GTF2A2	0
AC009264.1	0
AC108693.1	0
COL1A1.10	0
AC118754.1	0
PGAP3	0
TOP2A.1	0
C8orf82.1	0
AC006547.3	0
RPL26P15	0
AC091799.1	0
MYH11.78	0
AC073326.1	0
AC021106.3	0
AC020636.2	0
AL008638.3	0
KBTBD11-OT1	0
SAV1	0
FAM162B	0
GNPDA2	0
AC010186.4	0
PITX1	0
AC098818.2	0
PTPN9	0
NLRC4	0
HIP1R	0
AC019257.1	0
AL139193.1	0
KAT2A	0
SLC6A3	0
ARPC3.1	0
HDAC7.3	0
CCR7	0
BX072579.1	0
SNHG4	0
CPSF7.2	0
NAGK	0
AC009102.1	0
S1PR1	0
AARS2	0
MYCLP1	0
AC236668.1	0
KIDINS220.1	0
EPG5	0
PPP1R9B	0
TANK	0
OGFOD3	0
FMO9P	0
ZNF687.10	0
MIR659	0
AL158825.3	0
OMP	0
COMMD4	0
AC004543.1	0
LRRC55	0
DGCR8	0
DTX3L.2	0
SNORD3A	0
C3orf86	0
hsa-miR-7-5p	0
RBBP6.13	0
PPP1R3G	0
PHLPP1	0
hsa-let-7g-3p	0
hsa-miR-643	0
SMCR8.3	0
ANXA8L1	0
AC068688.1	0
TM6SF2	0
PPP1R17	0
ITPRID2.4	0
FBXL15	0
SNORA72	0
hsa-miR-346	0
EOGT	0
CELF1	0
CAPS	0
ZNF3	0
KCTD16	0
ENTHD1	0
AC100858.3	0
WSCD2	0
MISP.12	0
TMEM245.1	0
RBM15B.6	0
DOP1B.5	0
GUCY2GP	0
RPN2	0
RN7SL22P	0
AL358472.1	0
AL121978.1	0
MT1F	0
BIRC3	0
TONSL	0
INTS5	0
AC006338.1	0
SAMD1.2	0
ATP5PBP7	0
ARL2	0
DEK.8	0
FAM230C	0
LSP1.2	0
UTS2B	0
SEMA6A	0
PDZRN3.3	0
AL590483.4	0
AC084754.1	0
RRBP1.13	0
KIF25-AS1	0
CHTF18	0
CASC4P1	0
AL158070.1	0
POLE	0
AC012464.3	0
HDHD2.1	0
AL117351.1	0
NUP35	0
hsa-miR-4736	0
PSG4	0
AC020908.3	0
AC073283.3	0
hsa-miR-4792	0
TNR	0
DGAT2	0
AL589182.1	0
SPART	0
hsa-miR-4419b	0
AL022151.1	0
TMEM154.1	0
USP30	0
HPS5	0
GUCA2A	0
OGFRL1	0
IMMP1LP2	0
FCER1A	0
AC133485.6	0
SSNA1	0
AL137026.1	0
IGHV3-15	0
CABP2	0
AL596094.1	0
AC012158.2	0
AC020930.1	0
Z99755.1	0
CNOT10	0
RHBDF1.8	0
SYTL4	0
CNP	0
AC006529.1	0
PTTG4P	0
RN7SL561P	0
MARCKSL1.5	0
VN2R3P	0
HNF4G.1	0
POM121C.5	0
AP006222.2	0
AC104831.1	0
GIMAP1.1	0
AC018653.1	0
RPLP2.4	0
AL359853.2	0
AC245517.3	0
hsa-miR-6511a-3p	0
ZNF7	0
MTCO3P11	0
EHMT2	0
SOS1.2	0
L1CAM.2	0
AL137072.1	0
AC012301.3	0
PAPOLA	0
AXIN1	0
RFNG.1	0
LIMK1.1	0
MARF1	0
AC103563.7	0
hsa-miR-4436b-5p	0
PWWP3A	0
CUBN	0
MEF2D	0
AIM2	0
CAPS2-AS1	0
hsa-miR-1275	0
AL139042.1	0
LINC00442	0
AC026523.2	0
DCAF16	0
SLC25A35	0
AC023510.1	0
OR7E117P	0
RPL29P24	0
AC024075.3	0
ANKRD55	0
STRBP	0
ZC3H4.7	0
PDYN-AS1	0
C6orf47	0
AC099788.1	0
SIRT1.2	0
PLAAT5	0
ZMYM2.2	0
AMHR2	0
SCRIB.19	0
RNU6-652P	0
KIAA0930.7	0
ZC3H3	0
NUMA1.1	0
DICER1	0
NAV1	0
EPX	0
MIR4326	0
PTCD3	0
RAB20	0
SMC3.2	0
CNN1.6	0
WNT11	0
EPHA1	0
KDF1	0
TANGO2	0
LIN7C	0
SLC39A12	0
DNAJB2	0
ARHGAP15	0
TRGV8	0
ANPEP.1	0
DGKB	0
TXNDC8	0
SMIM1.1	0
CBFA2T2.2	0
AL158071.1	0
SNTB2.7	0
COL4A4	0
GATA6-AS1	0
hsa-miR-664b-3p	0
SNHG20	0
KRTAP4-2	0
hsa-miR-3667-3p	0
AC005840.3	0
NUP210	0
THAP5P1	0
PRRC1	0
CD8B2	0
FGL2	0
FRG2KP	0
FKBP15.1	0
hsa-miR-629-5p	0
TGFBRAP1.1	0
AC093416.2	0
hsa-miR-6785-3p	0
SPATA31A1	0
CERS6	0
RN7SL402P	0
DNPH1.2	0
SUPT5H	0
OR2W2P	0
SLC5A6	0
ARHGAP5.5	0
AC106882.1	0
GJA5	0
HCG24	0
ZKSCAN1	0
RBM34	0
AC009558.1	0
hsa-miR-136-5p	0
HNRNPA3.6	0
TOP2B.10	0
CD53.1	0
BCL3	0
EVI2A	0
IGHV3-22	0
IGKV1-16	0
AKAP12.35	0
ALDH1A2	0
IRX5	0
C2CD4D	0
OR7E35P	0
FAM83D	0
AC068228.1	0
RPL35AP35	0
MAPRE1P3	0
AKAP12.42	0
XAF1	0
AQP10	0
SCAF11.6	0
NOTO	0
hsa-miR-6837-3p	0
UAP1L1	0
MTUS1.5	0
AL121820.2	0
ARID2	0
RN7SL168P	0
AF124730.2	0
AC084125.2	0
WDR26	0
CAMSAP3.1	0
AC011416.2	0
LINC01929	0
RNU1-3	0
PCDH9	0
CXADR.3	0
NTSR1.2	0
ARHGAP32	0
AL365229.1	0
CDT1	0
LRFN5	0
CLNK	0
BMP6P1	0
SOX9.1	0
RHPN1	0
BCL9L.13	0
VSIR.4	0
GAB4	0
AC121247.2	0
KCTD9P6	0
AL390719.2	0
RBBP8NL.1	0
C6orf132	0
AP000560.1	0
GPATCH1	0
KAT5	0
IGHV1-69-2	0
LGSN	0
KIR2DL3	0
BAP1.3	0
MAP2K7	0
hsa-miR-6875-5p	0
AP000676.2	0
NSMAF	0
SNX17	0
PIGPP4	0
BX664727.1	0
LDHAP1	0
MIR5692B	0
MS4A4A	0
DNM1P47	0
EEF1AKNMT	0
Z82244.1	0
FOXP4.2	0
ADAMTSL3	0
TRIAP1	0
KIAA1217.1	0
AL390195.2	0
RPL36AP48	0
H2BP1	0
AL359745.1	0
RAB40C.1	0
AC006023.1	0
FTSJ3.3	0
hsa-miR-6861-5p	0
AL049651.2	0
GTSF1L	0
hsa-miR-92a-1-5p	0
COX15	0
CCDC85B	0
INKA2	0
AC079793.1	0
NELFCD	0
PLEKHG4	0
LINC01340	0
hsa-miR-4511	0
ZNF524	0
SIRT3	0
FBXO6	0
AP001002.3	0
AC099066.3	0
COTL1	0
CCL23	0
MSANTD2.1	0
DDX42	0
HEXD	0
ARHGAP32.2	0
AL121935.1	0
OR5AK1P	0
AC022296.2	0
PRAG1.15	0
AP001331.1	0
MACC1	0
RPS8P6	0
AC040168.2	0
LRRC37BP1	0
ECE1-AS1	0
hsa-miR-4685-3p	0
HELB	0
AL137792.1	0
TINAGL1	0
AC017015.1	0
GALR1	0
KAT7	0
AC012146.4	0
SERPINI2	0
ANKMY1	0
XRRA1	0
UBR4.9	0
AC234917.3	0
IFIT3	0
LINC02053	0
AL669830.2	0
AC073488.1	0
AL357558.3	0
IMPDH1P4	0
ZDHHC5.23	0
SP100.5	0
SNORA79B	0
SRF	0
HLA-DQB1-AS1	0
RBM27.1	0
TCF12.1	0
LAPTM4BP1	0
ZNF652.1	0
MCF2L-AS1	0
REPS1.6	0
MUC13.2	0
LINC02863	0
BPIFB2	0
SNORD116-20	0
HMGB3P14	0
ARFGEF2.12	0
PRSS27	0
GPR183	0
GABARAPL3	0
UQCR10	0
CHCHD3	0
HPS4	0
PYCARD	0
AC244033.2	0
AL355297.1	0
RPL17P3	0
AC018809.1	0
LINC02285	0
PATZ1	0
RNY4P17	0
POLM	0
IGKV1-27	0
ZNF395	0
RNF208	0
AC020914.3	0
TRAPPC8	0
AC022098.4	0
EPB41L1	0
AL139132.1	0
TOX4	0
ARL14EPP1	0
KIAA0232.1	0
LAMTOR5	0
EFNA3	0
LNPEP.2	0
AC091965.2	0
AC015819.5	0
BACH2	0
FAM117B.3	0
AL050402.1	0
APEH	0
CRACR2B	0
SYNJ1.1	0
CTSD	0
DNAJC19P5	0
CEP85L	0
IGKV1-8	0
OR2W5	0
TBC1D2B.1	0
AC099654.2	0
RTF1	0
AC135782.1	0
APTX	0
IGHV3-62	0
ZNRF1.1	0
TMEM79	0
AKT3.1	0
TMEM100.1	0
FOXO3	0
hsa-miR-1294	0
SNORD84	0
AC011451.3	0
GFY	0
CCM2.6	0
ZNF90P1	0
AC051619.4	0
LATS2	0
hsa-miR-6503-3p	0
hsa-miR-1292-5p	0
AL513523.3	0
hsa-miR-383-3p	0
HDAC9	0
hsa-miR-4658	0
SENP8	0
KL	0
TBX3	0
TBC1D27P	0
ARHGEF26-AS1	0
FGF7P1	0
SGF29	0
CDYL.3	0
LINC02355	0
LPIN3	0
GPR119	0
AL158212.1	0
ELF1.4	0
TSEN2	0
TESK1	0
PQBP1	0
AC063949.2	0
HNF1B.1	0
AC009994.1	0
AC005865.1	0
AC025614.2	0
AL355870.1	0
NANOGP9	0
NCF1.4	0
CENPNP2	0
ZNRF3	0
AC009967.1	0
MHENCR	0
AC011468.2	0
ADORA2A	0
RAP1AP	0
ROR1-AS1	0
SCP2D1-AS1	0
GHDC	0
NAGPA	0
PFKL	0
UBE2M	0
TIAM1.1	0
